Norsonic RTA840

Generated: Tue 23 Mar 2021 20:31:21 (sdf2txt, ver 1.09)
Title: No measurement title specified

Setup information
Measurement mode: Lvl-FFT-Sgl
Master Instrument Mode: Normal

Lower frequency: 0.00Hz
Upper frequency: 781.25Hz
Window 1: Hanning
Measurement start: Mon 15 Mar 2021 22:40:17
Number of averages: 20
Trigger condition: Manual

Channel 1:
Input: Line
Calibration: 0.0
Reference level (0dB): 2.00e-05
Fullscale: 95dB
High pass filter: 20Hz

"3CD09.SDF"
"Period = 0"
"              X[Hz]",     "Auto Pwr Spec",     
"             386.72",               -27.0,     
"             387.70",               -25.2,     
"             388.67",               -25.8,     
"             389.65",               -26.5,     
"             390.63",               -25.1,     
"             391.60",               -24.9,     
"             392.58",               -24.8,     
"             393.55",               -24.6,     
"             394.53",               -24.1,     
"             395.51",               -25.5,     
"             396.48",               -26.1,     
"             397.46",               -26.6,     
"             398.44",               -26.4,     
"             399.41",               -23.9,     
"             400.39",               -23.7,     
"             401.37",               -26.9,     
"             402.34",               -25.6,     
"             403.32",               -24.1,     
"             404.30",               -25.7,     
"             405.27",               -26.2,     
"             406.25",               -26.1,     
"             407.23",               -25.4,     
"             408.20",               -25.6,     
"             409.18",               -26.7,     
"             410.16",               -27.0,     
"             411.13",               -25.3,     
"             412.11",               -25.3,     
"             413.09",               -27.7,     
"             414.06",               -26.9,     
"             415.04",               -28.7,     
"             416.02",               -28.1,     
"             416.99",               -26.3,     
"             417.97",               -24.9,     
"             418.95",               -24.1,     
"             419.92",               -23.7,     
"             420.90",               -25.2,     
"             421.88",               -25.7,     
"             422.85",               -26.1,     
"             423.83",               -22.8,     
"             424.80",               -24.2,     
"             425.78",               -26.5,     
"             426.76",               -25.6,     
"             427.73",               -25.5,     
"             428.71",               -22.2,     
"             429.69",               -22.8,     
"             430.66",               -24.1,     
"             431.64",               -25.0,     
"             432.62",               -27.3,     
"             433.59",               -28.5,     
"             434.57",               -27.5,     
"             435.55",               -25.2,     
"             436.52",               -26.0,     
"             437.50",               -26.9,     
"             438.48",               -26.6,     
"             439.45",               -28.5,     
"             440.43",               -26.9,     
"             441.41",               -26.5,     
"             442.38",               -26.9,     
"             443.36",               -26.6,     
"             444.34",               -27.1,     
"             445.31",               -27.2,     
"             446.29",               -27.3,     
"             447.27",               -26.6,     
"             448.24",               -26.4,     
"             449.22",               -12.4,     
"             450.20",                -8.7,     
"             451.17",               -16.9,     
"             452.15",               -27.5,     
"             453.13",               -26.8,     
"             454.10",               -26.6,     
"             455.08",               -28.0,     
"             456.05",               -27.4,     
"             457.03",               -27.0,     
"             458.01",               -26.2,     
"             458.98",               -27.8,     
"             459.96",               -29.2,     
"             460.94",               -29.8,     
"             461.91",               -30.0,     
"             462.89",               -28.2,     
"             463.87",               -26.2,     
"             464.84",               -26.6,     
"             465.82",               -27.1,     
"             466.80",               -28.1,     
"             467.77",               -28.2,     
"             468.75",               -28.5,     
"             469.73",               -27.8,     
"             470.70",               -27.5,     
"             471.68",               -28.1,     
"             472.66",               -26.7,     
"             473.63",               -26.8,     
"             474.61",               -30.7,     
"             475.59",               -27.8,     
"             476.56",               -25.3,     
"             477.54",               -24.6,     
"             478.52",               -24.5,     
"             479.49",               -26.0,     
"             480.47",               -28.7,     
"             481.45",               -26.7,     
"             482.42",               -26.9,     
"             483.40",               -26.7,     
"             484.38",               -25.4,     
"             485.35",               -27.2,     
"             486.33",               -27.7,     
"             487.30",               -25.9,     
"             488.28",               -25.6,     
"             489.26",               -27.4,     
"             490.23",               -28.0,     
"             491.21",               -28.9,     
"             492.19",               -28.4,     
"             493.16",               -28.2,     
"             494.14",               -28.6,     
"             495.12",               -29.2,     
"             496.09",               -27.9,     
"             497.07",               -27.6,     
"             498.05",               -27.4,     
"             499.02",               -25.2,     
"             500.00",               -22.1,     
"             500.98",               -25.7,     
"             501.95",               -30.2,     
"             502.93",               -29.6,     
"             503.91",               -29.0,     
"             504.88",               -29.1,     
"             505.86",               -27.6,     
"             506.84",               -26.5,     
"             507.81",               -27.3,     
"             508.79",               -29.0,     
"             509.77",               -28.9,     
"             510.74",               -28.8,     
"             511.72",               -25.8,     
"             512.70",               -26.8,     
"             513.67",               -29.3,     
"             514.65",               -29.1,     
"             515.63",               -27.9,     
"             516.60",               -27.5,     
"             517.58",               -27.4,     
"             518.55",               -27.2,     
"             519.53",               -27.6,     
"             520.51",               -29.1,     
"             521.48",               -29.8,     
"             522.46",               -29.1,     
"             523.44",               -28.4,     
"             524.41",               -28.7,     
"             525.39",               -28.6,     
"             526.37",               -28.5,     
"             527.34",               -28.2,     
"             528.32",               -27.6,     
"             529.30",               -26.7,     
"             530.27",               -26.7,     
"             531.25",               -27.9,     
"             532.23",               -26.3,     
"             533.20",               -25.8,     
"             534.18",               -25.0,     
"             535.16",               -27.0,     
"             536.13",               -27.0,     
"             537.11",               -26.2,     
"             538.09",               -27.0,     
"             539.06",               -26.3,     
"             540.04",               -26.3,     
"             541.02",               -28.5,     
"             541.99",               -31.1,     
"             542.97",               -29.0,     
"             543.95",               -29.8,     
"             544.92",               -28.6,     
"             545.90",               -28.3,     
"             546.88",               -27.7,     
"             547.85",               -28.8,     
"             548.83",               -17.9,     
"             549.80",                -9.1,     
"             550.78",               -12.2,     
"             551.76",               -25.5,     
"             552.73",               -29.3,     
"             553.71",               -27.2,     
"             554.69",               -27.7,     
"             555.66",               -29.1,     
"             556.64",               -28.5,     
"             557.62",               -25.5,     
"             558.59",               -25.4,     
"             559.57",               -27.8,     
"             560.55",               -29.4,     
"             561.52",               -30.7,     
"             562.50",               -29.4,     
"             563.48",               -27.6,     
"             564.45",               -28.0,     
"             565.43",               -29.2,     
"             566.41",               -31.0,     
"             567.38",               -30.7,     
"             568.36",               -29.8,     
"             569.34",               -29.1,     
"             570.31",               -29.1,     
"             571.29",               -30.0,     
"             572.27",               -28.5,     
"             573.24",               -27.4,     
"             574.22",               -28.3,     
"             575.20",               -28.9,     
"             576.17",               -28.0,     
"             577.15",               -28.1,     
"             578.13",               -29.9,     
"             579.10",               -30.0,     
"             580.08",               -28.3,     
"             581.05",               -29.1,     
"             582.03",               -27.9,     
"             583.01",               -26.9,     
"             583.98",               -26.1,     
"             584.96",               -27.7,     
"             585.94",               -29.8,     
"             586.91",               -30.2,     
"             587.89",               -28.8,     
"             588.87",               -28.6,     
"             589.84",               -29.5,     
"             590.82",               -28.9,     
"             591.80",               -29.3,     
"             592.77",               -28.1,     
"             593.75",               -27.8,     
"             594.73",               -29.4,     
"             595.70",               -27.7,     
"             596.68",               -28.3,     
"             597.66",               -28.3,     
"             598.63",               -28.2,     
"             599.61",               -27.0,     
"             600.59",               -28.0,     
"             601.56",               -28.0,     
"             602.54",               -28.6,     
"             603.52",               -28.7,     
"             604.49",               -29.1,     
"             605.47",               -30.8,     
"             606.45",               -31.3,     
"             607.42",               -29.4,     
"             608.40",               -29.3,     
"             609.38",               -28.2,     
"             610.35",               -27.5,     
"             611.33",               -30.0,     
"             612.30",               -31.7,     
"             613.28",               -28.6,     
"             614.26",               -29.8,     
"             615.23",               -31.3,     
"             616.21",               -30.6,     
"             617.19",               -30.8,     
"             618.16",               -31.9,     
"             619.14",               -31.3,     
"             620.12",               -32.0,     
"             621.09",               -32.6,     
"             622.07",               -32.5,     
"             623.05",               -30.9,     
"             624.02",               -27.0,     
"             625.00",               -26.3,     
"             625.98",               -29.7,     
"             626.95",               -30.7,     
"             627.93",               -28.7,     
"             628.91",               -28.6,     
"             629.88",               -26.3,     
"             630.86",               -26.9,     
"             631.84",               -27.9,     
"             632.81",               -28.1,     
"             633.79",               -29.4,     
"             634.77",               -28.3,     
"             635.74",               -22.9,     
"             636.72",               -25.1,     
"             637.70",               -30.8,     
"             638.67",               -28.6,     
"             639.65",               -28.0,     
"             640.63",               -26.8,     
"             641.60",               -27.0,     
"             642.58",               -28.8,     
"             643.55",               -30.8,     
"             644.53",               -30.1,     
"             645.51",               -28.2,     
"             646.48",               -28.5,     
"             647.46",               -29.6,     
"             648.44",               -24.4,     
"             649.41",                -9.8,     
"             650.39",                -8.6,     
"             651.37",               -19.9,     
"             652.34",               -29.1,     
"             653.32",               -29.6,     
"             654.30",               -30.4,     
"             655.27",               -29.9,     
"             656.25",               -30.9,     
"             657.23",               -32.5,     
"             658.20",               -30.8,     
"             659.18",               -31.8,     
"             660.16",               -32.0,     
"             661.13",               -30.6,     
"             662.11",               -30.2,     
"             663.09",               -29.2,     
"             664.06",               -27.7,     
"             665.04",               -28.5,     
"             666.02",               -27.5,     
"             666.99",               -30.2,     
"             667.97",               -29.1,     
"             668.95",               -28.1,     
"             669.92",               -27.6,     
"             670.90",               -30.2,     
"             671.88",               -31.1,     
"             672.85",               -29.3,     
"             673.83",               -30.2,     
"             674.80",               -28.3,     
"             675.78",               -28.6,     
"             676.76",               -30.6,     
"             677.73",               -29.4,     
"             678.71",               -27.5,     
"             679.69",               -29.1,     
"             680.66",               -27.6,     
"             681.64",               -27.5,     
"             682.62",               -28.8,     
"             683.59",               -28.8,     
"             684.57",               -28.3,     
"             685.55",               -28.0,     
"             686.52",               -27.3,     
"             687.50",               -27.5,     
"             688.48",               -29.4,     
"             689.45",               -28.4,     
"             690.43",               -27.3,     
"             691.41",               -29.4,     
"             692.38",               -30.9,     
"             693.36",               -31.0,     
"             694.34",               -29.5,     
"             695.31",               -29.0,     
"             696.29",               -29.8,     
"             697.27",               -28.4,     
"             698.24",               -28.9,     
"             699.22",               -26.2,     
"             700.20",               -24.6,     
"             701.17",               -30.5,     
"             702.15",               -30.6,     
"             703.13",               -29.5,     
"             704.10",               -28.3,     
"             705.08",               -27.3,     
"             706.05",               -28.8,     
"             707.03",               -29.3,     
"             708.01",               -30.3,     
"             708.98",               -30.7,     
"             709.96",               -29.9,     
"             710.94",               -29.2,     
"             711.91",               -29.0,     
"             712.89",               -29.0,     
"             713.87",               -30.9,     
"             714.84",               -29.5,     
"             715.82",               -29.6,     
"             716.80",               -29.5,     
"             717.77",               -31.4,     
"             718.75",               -31.6,     
"             719.73",               -28.8,     
"             720.70",               -29.5,     
"             721.68",               -31.6,     
"             722.66",               -31.8,     
"             723.63",               -31.3,     
"             724.61",               -29.6,     
"             725.59",               -30.1,     
"             726.56",               -31.8,     
"             727.54",               -32.8,     
"             728.52",               -28.4,     
"             729.49",               -27.6,     
"             730.47",               -29.8,     
"             731.45",               -30.1,     
"             732.42",               -29.7,     
"             733.40",               -28.8,     
"             734.38",               -28.2,     
"             735.35",               -29.6,     
"             736.33",               -27.5,     
"             737.30",               -25.4,     
"             738.28",               -27.0,     
"             739.26",               -31.2,     
"             740.23",               -28.8,     
"             741.21",               -25.3,     
"             742.19",               -23.6,     
"             743.16",               -27.5,     
"             744.14",               -28.1,     
